no,jalan,seksyen,remark,muk_bdr,alamat_pepasangan,pic,jumlah_bilangan_unit_pengecas,long,kod_negeri,bil_,location_coordinate,ac_bay,kg_tmn,nam_par,lat,dc_bay,kod_daerah,a,ac,id_ev,tarikkkemaskini,nam_adm,catatan,kod_dun,nama_pemegang_lesen_,upi,jumlah_bay,kod_par,unit_tkt,negeri,nam_dun,bangunan,no__lesen,daerah,daerah_1,kapasiti_pepasangan__kw_,tempoh_sah_lesen,objectid,dc,geometry_x,geometry_y
27,JALAN BALIK PULAU, ,,MUKIM G,"(MBPP) BALIK PULAU - 7 CAFE, 7 CAFE BY 7 ELEVEN, JALAN BALIK PULAU, 11000 BALIK PULAU, PULAU PINANG",,1,100.21697886,07,1403,"5.333836022749698, 100.21697885677287",0,TAMAN DESA MUTIARA,P.053 - BALIK PULAU,5.33383602,2,05,1,0,50024,1773532800000,DBD MUKIM G,,N.39,CHARGEHERE EV SOLUTION SDN BHD,070519000,2,P.053,,PULAU PINANG,N.39 - PULAU BETONG,(MBPP) BALIK PULAU,LA 12/1/16/1561 (D-EVCS),DBD,BARAT DAYA,60,7/5/2025 - 6/5/2035,148,1,100.21697885700007,5.33383602300006
239A,JALAN SULTAN AZLAN SHAH, ,,MUKIM 12,"239A, JALAN SULTAN AZLAN SHAH, 11900 BAYAN LEPAS, PULAU PINANG",,4,100.29895621,07,1439,"5.337829576117555, 100.29895620528151",4,KAMPUNG SUNGAI NIBONG,P.052 - BAYAN BARU,5.33782958,4,05,1,4,50025,1773532800000,DBD MUKIM 12,,N.36,ICONIC DEVELOPMENT SDN. BHD.,070512000,8,P.052,,PULAU PINANG,N.36 - PANTAI JEREJAK,ICONIC MARJORIE HOTEL,LA 12/1/16/1637 (D-EVCS),DBD,BARAT DAYA,88,8/5/2025 - 7/5/2035,149,0,100.29895620500008,5.337829576000047
LOT 4000,LINTANG TANJUNG BUNGAH, ,,TANJONG BUNGAH,"GRAND OCEAN, BLK 1, LOT 4000, LTG TG BUNGAH, 11200 TANJUNG BUNGAH, PULAU PINANG",,3,100.27911275,07,1453,"5.465849817974373, 100.27911274563792",3,TANJUNG BUNGAH,P.048 - BUKIT BENDERA,5.46584982,0,04,1,3,40094,1773532800000,DTL TANJONG BUNGAH,,N.22,POWERBEE SDN BHD,070446000,3,P.048,BLOCK 1,PULAU PINANG,N.22 - TANJONG BUNGA,GRAND OCEAN,LA 12/1/16/1655 (D-EVCS),DTL,TIMOR LAUT,66,26/5/2025 - 25/5/2035,150,0,100.27911274600007,5.465849818000038
LOT 1859,JALAN TUN DR AWANG, ,,MUKIM 13,"KOMPLEKS BKT JAMBUL - LOT 1859, JLN TUN DR AWANG, SG NIBONG KECIL, 11900 BAYAN LEPAS, PULAU PINANG",,2,100.29022754,07,1457,"5.3336971150414865, 100.29022754398181",1,SUNGAI NIBONG KECIL,P.052 - BAYAN BARU,5.33369712,2,04,1,1,40058,1773532800000,DTL MUKIM 13,,N.35,POWERBEE SDN BHD,070401000,3,P.052,,PULAU PINANG,N.35 - BATU UBAN,KOMPLEKS BUKIT JAMBUL,LA 12/1/16/1664 (D-EVCS),DTL,TIMOR LAUT,82,26/5/2025 - 25/5/2035,151,1,100.29022754400006,5.333697115000064
144,JALAN DATO KERAMAT,SEK. 10,,GEORGE TOWN,"PENANG TIMES SQUARE, 144, JALAN DATO KERAMAT, 10150 GEORGETOWN, PULAU PINANG",,2,100.3256397,07,1458,"5.412176274758164, 100.32563969585081",2,,P.049 - TANJONG,5.41217627,0,04,1,2,40095,1773532800000,DTL GEORGE TOWN SEK. 10,,N.28,POWERBEE SDN BHD,070444010,2,P.049,,PULAU PINANG,N.28 - KOMTAR,PENANG TIMES SQUARE,LA 12/1/16/1675 (D-EVCS),DTL,TIMOR LAUT,44,26/5/2025 - 25/5/2035,152,0,100.32563969600005,5.412176275000036
202,LORONG PERUSAHAAN MAJU 9, ,,MUKIM 11,"202, LORONG PERUSAHAAN MAJU 9, BUKIT MINYAK INDUSTRIAL PARK, BUKIT MERTAJAM, 13600 PULAU PINANG",,2,100.4241539,07,1459,"5.3410234629274145, 100.4241539037577",2,BUKIT MINYAK INDUSTRIAL PARK,P.046 - BATU KAWAN,5.34102346,0,01,1,2,10031,1773532800000,SPT MUKIM 11,,N.17,SANMINA-SCI SYSTEMS (MALAYSIA) SDN. BHD.,070111000,2,P.046,,PULAU PINANG,N.17 - BUKIT TENGAH,SANMINA-SCI SYSTEMS (M) SDN BHD (PEN1),LA 12/1/16/1645 (D-EVCS),SPT,SEBERANG PERAI TENGAH,44,26/5/2025 - 25/5/2035,153,0,100.42415390400004,5.341023463000056
LOT 21923,PERSIARAN CASSIA ULTRAPOLIS, ,,MUKIM 13,"SINARAN ULTRAPOLIS (RESIDENTIAL), VISITOR PARKING EV1 & EV2, LOT 21923, PERSIARAN CASSIA ULTRAPOLIS, 14110, BANDAR CASSIA, PULAU PINANG",,2,100.43983326,07,1481,"5.242477614059271, 100.43983325871108",2,BANDAR CASSIA,P.046 - BATU KAWAN,5.24247761,0,03,1,2,30011,1773532800000,SPS MUKIM 13,,N.18,CHARGE N GO SDN BHD,070313000,2,P.046,VISITOR PARKING EV1 & EV2,PULAU PINANG,N.18 - BUKIT TAMBUN,SINARAN ULTRAPOLIS (RESIDENTIAL),LA 12/1/16/1620 (D-EVCS),SPS,SEBERANG PERAI SELATAN,44,4/6/2025 - 3/6/2035,154,0,100.43983325900007,5.242477614000052
LOT 10110,PERSIARAN SEMBILANG, ,,PRAI,"KONDOMINIUM RIVER TROPICS, LOT 10110, PERSIARAN SEMBILANG, SEBERANG PERAI, 13700 BANDAR PRAI, PULAU PINANG",,2,100.40526241,07,1491,"5.406797553284487, 100.4052624104237",2,BANDAR PRAI,P.044 - PERMATANG PAUH,5.40679755,0,01,1,2,10032,1773532800000,SPT PRAI,,N.10,CHARGE N GO SDN BHD,070141000,2,P.044,,PULAU PINANG,N.10 - SEBERANG JAYA,KONDOMINIUM RIVER TROPICS,LA 12/1/16/1740 (D-EVCS),SPT,SEBERANG PERAI TENGAH,44,26/6/2025- 25/6/2035,155,0,100.40526241000003,5.406797553000047
LOT 752,PERSIARAN CASSIA BARAT 8, ,,MUKIM 13,"DECATHLON KLIPPA BATU KAWAN, LOT 752, PERSIARAN CASSIA BARAT 8, BANDAR CASSIA, 14100 BATU KAWAN, PULAU PINANG",,3,100.44190887,07,1496,"5.233695305989043, 100.44190887331163",3,BANDAR CASSIA,P.046 - BATU KAWAN,5.23369531,0,03,1,3,30012,1773532800000,SPS MUKIM 13,,N.18,DECATHLON MALAYSIA SDN BHD,070313000,3,P.046,,PULAU PINANG,N.18 - BUKIT TAMBUN,DECATHLON KLIPPA BATU KAWAN,LA 12/1/16/1548 (D-EVCS),SPS,SEBERANG PERAI SELATAN,66,20/6/2025 - 19/6/2035,156,0,100.44190887300005,5.233695306000072
105B-01-01,PERSIARAN BAYAN INDAH 1, ,,MUKIM 12,"105B-01-01, PERSIARAN BAYAN INDAH 1, 11900 BAYAN LEPAS PULAU PINANG",,3,100.3094132,07,1515,"5.338962731872465, 100.3094131970716",3,,P.052 - BAYAN BARU,5.33896273,0,05,1,3,50027,1773532800000,DBD MUKIM 12,,N.36,EVC POWERCO SDN. BHD.,070512000,3,P.052,VISITOR PARKING,PULAU PINANG,N.36 - PANTAI JEREJAK,GOLD COAST RESORT CONDOMINIUM,LA 12/1/16/1697(D-EVCS),DBD,BARAT DAYA,66,4/6/2025 - 3/6/2035,157,0,100.30941319700008,5.338962732000027
93,JALAN LOH POH HENG, ,,TANJONG BUNGAH,"STARBUCKS HILLSIDE, 93, JALAN LOH POH HENG, TANJUNG BUNGAH 11200 PULAU PINANG",,1,100.28444557,07,1527,"5.459909964162769, 100.28444557446184",1,TANJUNG BUNGAH,P.048 - BUKIT BENDERA,5.45990996,0,04,1,1,40096,1773532800000,DTL TANJONG BUNGAH,,N.22,GREEN EV CHARGE SDN BHD,070446000,1,P.048,,PULAU PINANG,N.22 - TANJONG BUNGA,STARBUCKS HILLSIDE,LA 12/1/16/1579 (D-EVCS),DTL,TIMOR LAUT,22,4/6/2025 - 3/6/2035,158,0,100.28444557400007,5.459909964000076
4-G,JALAN PANTAI MOLEK,SEK. 2,,TANJONG TOKONG,"STARBUCKS TANJUNG TOKONG, 4-G, JALAN PANTAI MOLEK, KAMPUNG RAYA BAHARU, TANJUNG TOKONG, 10470 PULAU PINANG",,1,100.30548674,07,1528,"5.446493171925971, 100.30548674347065",1,KAMPUNG RAYA BAHARU,P.048 - BUKIT BENDERA,5.44649317,0,04,1,1,40097,1773532800000,DTL TANJONG TOKONG SEK. 2,,N.25,GREEN EV CHARGE SDN BHD,070447002,1,P.048,,PULAU PINANG,N.25 - PULAU TIKUS,STARBUCKS TANJUNG TOKONG,LA 12/1/16/1580 (D-EVCS),DTL,TIMOR LAUT,22,4/6/2025 - 3/6/2035,159,0,100.30548674300007,5.446493172000032
,LORONG SETIA SENTRAL 2, ,,MUKIM 6,"STARBUCKS JURU R&R 2, LORONG SETIA SENTRAL 2, PUSAT PERNIAGAAN SETIA SENTRAL, PERAI 14000 PULAU PINANG",,2,100.41781771,07,1530,"5.354854855189451, 100.41781771404085",1,PUSAT PERNIAGAAN SETIA SENTRAL,P.046 - BATU KAWAN,5.35485486,1,01,1,1,10033,1773532800000,SPT MUKIM 6,,N.17,GREEN EV CHARGE SDN BHD,070106000,2,P.046,,PULAU PINANG,N.17 - BUKIT TENGAH,STARBUCKS JURU R&R 2,LA 12/1/16/1646 (D-EVCS),SPT,SEBERANG PERAI TENGAH,44,25/6/2025 - 24/6/2035,160,1,100.41781771400008,5.354854855000042
41,JALAN VERVEA 9, ,,MUKIM 13,"VERVEA @ ASPEN VISION CITY, LEBUHAYA BANDAR CASSIA, BANDAR CASSIA, 14110 SIMPANG AMPAT, PULAU PINANG",,2,100.4402763,07,1534,"5.238036494704077, 100.4402762991648",1,BANDAR CASSIA,P.046 - BATU KAWAN,5.23803649,2,03,1,1,30013,1773532800000,SPS MUKIM 13,,N.18,GREENERGY EV SDN BHD,070313000,3,P.046,,PULAU PINANG,N.18 - BUKIT TAMBUN,VERVEA @ ASPEN VISION CITY,LA 12/1/16/1749 (D-EVCS),SPS,SEBERANG PERAI SELATAN,62,24/6/2025 - 23/6/2035,161,1,100.44027629900006,5.238036495000074
NO.1,LINTANG LEMBAH PERMAI 17, ,,MUKIM 18,"BADAN PENGURUSAN BERSAMA MIRA RESIDENCE, NO.1, LINTANG LEMBAH PERMAI 17, 11200 TANJUNG BUNGAH, PULAU PINANG",,5,100.28665033,07,1538,"5.456464975432843, 100.28665032618842",5,TANJUNG BUNGAH,P.048 - BUKIT BENDERA,5.45646498,0,04,1,5,40098,1773532800000,DTL MUKIM 18,,N.22,POWERBEE SDN BHD,070406000,5,P.048,BADAN PENGURUSAN BERSAMA,PULAU PINANG,N.22 - TANJONG BUNGA,MIRA RESIDENCE,LA 12/1/16/1731 (D-EVCS),DTL,TIMOR LAUT,65,24/6/2025 - 23/6/2035,162,0,100.28665032600009,5.456464975000074
NO. 46,JALAN SULTAN AHMAD SHAH,SEK. 13,,GEORGE TOWN,"LANDLORD THE MAYFAIR SUPERCONDOMINIUM, NO. 46, JLN SULTAN AHMAD SHAH, GEORGETOWN 10050 PULAU PINANG",,2,100.32658576,07,1539,"5.42469041016996, 100.32658576357758",2,,P.049 - TANJONG,5.42469041,0,04,1,2,40099,1773532800000,DTL GEORGE TOWN SEK. 13,,N.26,POWERBEE SDN BHD,070444013,2,P.049,LANDLORD,PULAU PINANG,N.26 - PADANG KOTA,THE MAYFAIR SUPERCONDOMINIUM,LA 12/1/16/1743 (D-EVCS),DTL,TIMOR LAUT,44,24/6/2025 - 23/6/2035,163,0,100.32658576400007,5.424690410000039
2024,TINGKAT PERUSAHAAN 6, ,,MUKIM 1,"SCHOTT GLASS MALAYSIA SDN. BHD., 2024, TINGKAT PERUSAHAAN 6, ZONE PERINDUSTRIAN BEBAS 2 SEBERANG PERAI, PERAI, 13600 PULAU PINANG",,6,100.3978358,07,1541,"5.356420276128576, 100.39783579877586",6,ZONE PERINDUSTRIAN BEBAS 2 SEBERANG PERAI,P.046 - BATU KAWAN,5.35642028,0,01,1,6,10034,1773532800000,SPT MUKIM 1,,N.17,SCHOTT GLASS (MALAYSIA) SDN BHD,070101000,6,P.046,,PULAU PINANG,N.17 - BUKIT TENGAH,SCHOTT GLASS MALAYSIA SDN. BHD.,LA 12/1/16/1701 (D-EVCS),SPT,SEBERANG PERAI TENGAH,132,25/6/2025 - 24/6/2035 ,164,0,100.39783579900006,5.356420276000051
PMT 797,PERSIARAN CASSIA SELATAN 8, ,,MUKIM 13,"SMITH & NEPHEW OPERATIONS SDN. BHD., PMT 797, PERSIARAN CASSIA SELATAN 8, TAMAN PERINDUSTRIAN BATU KAWAN, BANDAR CASSIA, 14110 SIMPANG AMPAT, PULAU PINANG",,5,100.43224253,07,1543,"5.220398427003492, 100.4322425302554",5,TAMAN PERINDUSTRIAN BATU KAWAN,P.046 - BATU KAWAN,5.22039843,0,03,1,5,30014,1773532800000,SPS MUKIM 13,,N.18,SMITH & NEPHEW OPERATIONS SDN. BHD.,070313000,5,P.046,,PULAU PINANG,N.18 - BUKIT TAMBUN,SMITH & NEPHEW OPERATIONS SDN. BHD.,LA 12/1/16/1714 (D-EVCS),SPS,SEBERANG PERAI SELATAN,35,4/6/2025 - 3/6/2035,165,0,100.43224253000005,5.2203984270000205
102M,LENGKUK KAMPUNG JAWA 2, ,,MUKIM 12,"TIME PENANG, 102M, LENGKUK KAMPUNG JAWA 2, MIEL INDUSTRIAL ESTATE, 11900 BAYAN LEPAS, PULAU PINANG",,1,100.29128403,07,1546,"5.317048943967866, 100.29128403441877",1,KAWASAN PERINDUSTRIAN BAYAN LEPAS,P.052 - BAYAN BARU,5.31704894,0,05,1,1,50028,1773532800000,DBD MUKIM 12,,N.36,CHARGE N GO SDN BHD,070512000,1,P.052,,PULAU PINANG,N.36 - PANTAI JEREJAK,TIME PENANG,LA 12/1/16/1768 (D-EVCS),DBD,BARAT DAYA,22,28/7/2025 - 27/7/2035,166,0,100.29128403400006,5.317048944000021
,JALAN SERVIS OFF JALAN PERAK,SEK. 1,,JELUTONG,"JALAN SERVIS OFF JALAN PERAK (HADAPAN BIG FARMASI), BANDAR JELUTONG, JELUTONG, 11600 PULAU PINANG",,2,100.31507431,07,1579,"5.399438672804473, 100.31507431278375",0,BANDAR JELUTONG,P.050 - JELUTONG,5.39943867,2,04,1,0,40100,1773532800000,DTL JELUTONG SEK. 1,,N.30,GENTARI GREEN MOBILITY SDN. BHD.,070445001,2,P.050,,PULAU PINANG,N.30 - SUNGAI PINANG,(HADAPAN BIG FARMASI),LA 12/1/16/1763 (D-EVCS),DTL,TIMOR LAUT,120,15/7/2025 - 14/7/2035,167,2,100.31507431300008,5.39943867300002
,PERSIARAN KARPAL SINGH 1,SEK. 8,,GEORGE TOWN,"PERSIARAN KARPAL SINGH (HADAPAN MCDONALD), KARPAL SINGH DR, BANDAR GEORGETOWN, 11600 TIMOR LAUT, PULAU PINANG",,2,100.32645637,07,1580,"5.395932722390813, 100.32645636684032",0,SUNGAI PINANG,P.050 - JELUTONG,5.39593272,4,04,1,0,40101,1773532800000,DTL GEORGE TOWN SEK. 8,,N.30,GENTARI GREEN MOBILITY SDN. BHD.,070444008,4,P.050,,PULAU PINANG,N.30 - SUNGAI PINANG,(HADAPAN MCDONALD),LA 12/1/16/1804 (D-EVCS),DTL,TIMOR LAUT,120,28/7/2025 - 27/7/2035,168,2,100.32645636700005,5.395932722000055
,JALAN SERVIS OFF JALAN SUNGAI DUA, ,,MUKIM 13,"JALAN SERVIS OFF JALAN SUNGAI DUA (HADAPAN MCDONALD), MUKIM 13, 11700 GELUGOR, PULAU PINANG",,1,100.29960333,07,1582,"5.352560494931888, 100.29960332520608",0,,P.052 - BAYAN BARU,5.35256049,2,04,1,0,40020,1773532800000,DTL MUKIM 13,,N.35,GENTARI GREEN MOBILITY SDN. BHD.,070401000,2,P.052,,PULAU PINANG,N.35 - BATU UBAN,(HADAPAN MCDONALD),LA 12/1/16/1754 (D-EVCS),DTL,TIMOR LAUT,60,2/7/2025 1/7/2035,169,1,100.29960332500008,5.352560495000034
100,PERSIARAN BAYAN INDAH, ,,MUKIM 12,"QUEENSBAY MALL, LEVEL 6, 100, PERSIARAN BAYAN INDAH, 11900 BAYAN LEPAS, PULAU PINANG",,1,100.30633832,07,1585,"5.334010970065575, 100.30633831875193",1,,P.052 - BAYAN BARU,5.33401097,0,05,1,1,50030,1773532800000,DBD MUKIM 12,,N.36,GREEN EV CHARGE SDN BHD,070512000,1,P.052,LEVEL 6,PULAU PINANG,N.36 - PANTAI JEREJAK,QUEENSBAY MALL,LA 12/1/16/1734 (D-EVCS),DBD,BARAT DAYA,7.4,11/7/2025 - 10/7/2035,170,0,100.30633831900008,5.334010970000065
14,JALAN TANJUNG BUNGAH,SEK. 2,,TANJONG TOKONG,"BSG PROPERTY PRECINCT 10, JALAN TANJUNG BUNGAH, SERI TANJUNG PINANG, GEORGE TOWN, 10470 PULAU PINANG",,2,100.30620564,07,1590,"5.449117140206743, 100.3062056445636",1,SERI TANJUNG PINANG,P.048 - BUKIT BENDERA,5.44911714,2,04,1,1,40102,1773532800000,DTL TANJONG TOKONG SEK. 2,,N.25,GREENERGY EV SDN BHD,070447002,3,P.048,BSG PROPERTY SDN. BHD.,PULAU PINANG,N.25 - PULAU TIKUS,PRECINCT 10,LA 12/1/16/1787 (D-EVCS),DTL,TIMOR LAUT,62,18/7/2025 - 17/7/2035,171,1,100.30620564500003,5.449117140000055
170-06-01,PERSIARAN GURNEY,SEK. 1,,GEORGE TOWN,"GURNEY PLAZA, 6F, 170-06-01 PLAZA GURNEY, PERSIARAN GURNEY, 10250 GEORGETOWN, PULAU PINANG",,3,100.30973253,07,1591,"5.438017196669884, 100.30973253099934",3,,P.048 - BUKIT BENDERA,5.4380172,0,04,1,3,40103,1773532800000,DTL GEORGE TOWN SEK. 1,,N.25,HANDAL GREEN MOBILITY SDN BHD,070444001,3,P.048,6F,PULAU PINANG,N.25 - PULAU TIKUS,GURNEY PLAZA,LA 12/1/16/1809 (D-EVCS),DTL,TIMOR LAUT,66,17/7/2025 - 16/7/2035,172,0,100.30973253100007,5.438017197000022
NO. 1733,LORONG INDUSTRI 2, ,,MUKIM 7,"ENTRANCE PARKING, NO. 1733, LORONG INDUSTRI 2, KAWASAN INDUSTRI BUKIT PANCHOR, 14300 PULAU PINANG",,1,100.49678635,07,1594,"5.174603819708592, 100.49678634734613",0,TAMAN INDUSTRI BUKIT PANCHOR,P.047 - NIBONG TEBAL,5.17460382,2,03,1,0,30015,1773532800000,SPS MUKIM 7,,N.19,MKS ADVANCE (M) SDN BHD,070307000,2,P.047,ENTRANCE PARKING,PULAU PINANG,N.19 - JAWI,MKS ADVANCE (M) SDN. BHD.,LA 12/1/16/1806 (D-EVCS),SPS,SEBERANG PERAI SELATAN,210,21/7/2025 - 20/7/2035,173,1,100.49678634700007,5.174603820000073
3,LILITAN SUNGAI ARA, ,,MUKIM 10,"SEK. JENIS KEB. (CINA) AIK HUA - 3, LILITAN SUNGAI ARA, SUNGAI ARA, 11900 BAYAN LEPAS, PULAU PINANG",,3,100.27538603,07,1598,"5.334283580238166, 100.2753860337332",3,SUNGAI ARA,P.053 - BALIK PULAU,5.33428358,0,05,1,3,50031,1773532800000,DBD MUKIM 10,,N.38,SEK. JENIS KEB. (CINA) AIK HUA,070510000,3,P.053,,PULAU PINANG,N.38 - BAYAN LEPAS,SEK. JENIS KEB. (CINA) AIK HUA,LA 12/1/16/1741 (D-EVCS),DBD,BARAT DAYA,66,9/7/2025 - 8/7/2035,174,0,100.27538603400006,5.334283580000033
,PERSIARAN BAYAN INDAH, ,,MUKIM 13,"QUAY WEST RESIDENCE, PERSIARAN BAYAN INDAH, BAYAN LEPAS, 11900 PULAU PINANG",,3,100.31080658,07,1614,"5.342047722999813, 100.31080657649892",2,,P.052 - BAYAN BARU,5.34204772,2,04,1,2,40021,1773532800000,DTL MUKIM 13,,N.35,CHARGEHERE EV SOLUTION SDN BHD,070401000,4,P.052,,PULAU PINANG,N.35 - BATU UBAN,QUAY WEST RESIDENCE,LA 12/1/16/1866 (D-EVCS),DTL,TIMOR LAUT,84,29/8/2025 - 28/8/2035,175,1,100.31080657600006,5.342047723000064
,LINTANG SUNGAI ARA 14, ,,MUKIM 10,"IMPERIAL RESIDENCES CONDOMINIUM, LINTANG SUNGAI ARA 14, SUNGAI ARA, BAYAN LEPAS, 11900 PULAU PINANG",,3,100.27148992,07,1615,"5.334103775038889, 100.27148991839759",2,SUNGAI ARA,P.053 - BALIK PULAU,5.33410378,2,05,1,2,50033,1773532800000,DBD MUKIM 10,,N.38,CHARGEHERE EV SOLUTION SDN BHD,070510000,4,P.053,,PULAU PINANG,N.38 - BAYAN LEPAS,IMPERIAL RESIDENCES CONDOMINIUM,LA 12/1/16/1873 (D-EVCS),DBD,BARAT DAYA,84,29/8/2025 - 28/8/2035,176,1,100.27148991800004,5.334103775000074
1,SOLOK TANJUNG BUNGAH, ,,TANJONG BUNGAH,"SURIN CONDOMINIUM,1, SOLOK TANJUNG BUNGAH, 11200 TANJUNG BUNGAH, PULAU PINANG",,3,100.27477079,07,1617,"5.4665617464288285, 100.27477079199453",2,TANJUNG BUNGAH,P.048 - BUKIT BENDERA,5.46656175,2,04,1,2,40104,1773532800000,DTL TANJONG BUNGAH,,N.22,CHARGEHERE EV SOLUTION SDN BHD,070446000,4,P.048,,PULAU PINANG,N.22 - TANJONG BUNGA,SURIN CONDOMINIUM,LA 12/1/16/1876 (D-EVCS),DTL,TIMOR LAUT,84,29/8/2025 - 28/8/2035,177,1,100.27477079200008,5.466561746000025
,LORONG BURMA,SEK. 4,,GEORGE TOWN,"SETIA V RESIDENCE, LORONG BURMA, 10250 GEORGETOWN, PULAU PINANG",,3,100.31482706,07,1624,"5.4328774934440895, 100.31482706488248",2,,P.048 - BUKIT BENDERA,5.43287749,2,04,1,2,40105,1773532800000,DTL GEORGE TOWN SEK. 4,,N.25,CHARGEHERE EV SOLUTION SDN BHD,070444004,4,P.048,,PULAU PINANG,N.25 - PULAU TIKUS,SETIA V RESIDENCE,LA 12/1/16/1925 (D-EVCS),DTL,TIMOR LAUT,54,29/8/2025 - 28/8/2035,178,1,100.31482706500003,5.432877493000035
118,PERSIARAN BAYAN INDAH, ,,MUKIM 12,"PUTRA PLACE CONDOMINIUM, 118, PERSIARAN BAYAN INDAH, 11900 BAYAN LEPAS, PULAU PINANG",,2,100.30992374,07,1629,"5.34048854235149, 100.30992373863401",1,,P.052 - BAYAN BARU,5.34048854,2,05,1,1,50034,1773532800000,DBD MUKIM 12,,N.36,CHARGEHERE EV SOLUTION SDN BHD,070512000,3,P.052,,PULAU PINANG,N.36 - PANTAI JEREJAK,PUTRA PLACE CONDOMINIUM,LA 12/1/16/1849 (D-EVCS),DBD,BARAT DAYA,64,7/8/2025 - 6/8/2035,179,1,100.30992373900006,5.34048854200006
,LORONG BERJAYA BARU 2, ,,MUKIM 15,"BERJAYA CONDOMINIUM, LORONG BERJAYA BARU 2, KAMPUNG BARU, 14000 BUKIT MERTAJAM, PULAU PINANG",,4,100.47085376,07,1635,"5.348319385833665, 100.47085376346907",4,KAMPUNG BARU,P.045 - BUKIT MERTAJAM,5.34831939,0,01,1,4,10035,1773532800000,SPT MUKIM 15,,N.13,CHARGEHERE EV SOLUTION SDN BHD,070115000,4,P.045,,PULAU PINANG,N.13 - BERAPIT,BERJAYA CONDOMINIUM,LA 12/1/16/1899 (D-EVCS),SPT,SEBERANG PERAI TENGAH,44,29/8/2025 - 28/8/2035,180,0,100.47085376300004,5.348319386000071
182,JALAN MAGAZINE,SEK. 17,,GEORGE TOWN,"1ST AVENUE MALL, LEVEL 5 PARKING, 182, JALAN MAGAZINE, 10300 GEORGETOWN, PULAU PINANG",,2,100.33133019,07,1638,"5.41342008383934, 100.33133018643844",2,,P.049 - TANJONG,5.41342008,0,04,1,2,40106,1773532800000,DTL GEORGE TOWN SEK. 17,,N.28,CHARGEHERE EV SOLUTION SDN BHD,070444017,2,P.049,LEVEL 5 PARKING,PULAU PINANG,N.28 - KOMTAR,1ST AVENUE MALL,LA 12/1/16/1906 (D-EVCS),DTL,TIMOR LAUT,44,29/8/2025 - 28/8/2035,181,0,100.33133018600006,5.413420084000052
,JALAN CASSIA BARAT 2, ,,MUKIM 13,"SUASANA@UTROPOLIS, JALAN CASSIA BARAT 2, BANDAR CASSIA, 14110 SIMPANG AMPAT, PULAU PINANG",,2,100.43570209,07,1639,"5.241354685893878, 100.43570209405452",1,BANDAR CASSIA,P.046 - BATU KAWAN,5.24135469,2,03,1,1,30016,1773532800000,SPS MUKIM 13,,N.18,CHARGEHERE EV SOLUTION SDN BHD,070313000,3,P.046,,PULAU PINANG,N.18 - BUKIT TAMBUN,SUASANA@UTROPOLIS,LA 12/1/16/1916 (D-EVCS),SPS,SEBERANG PERAI SELATAN,62,29/8/2025 - 28/8/2035,182,1,100.43570209400008,5.241354686000022
,JALAN SERVIS OFF LEBUHRAYA THEAN TEK, ,,MUKIM 13,"JALAN SERVIS OFF LEBUHRAYA THEAN TEK (HADAPAN COSWAY), MUKIM 13, 11060 TIMOR LAUT, PULAU PINANG",,1,100.28285352,07,1649,"5.391052083520998, 100.2828535181406",0,BANDAR BARU AYER ITAM (FARLIM),P.051 - BUKIT GELUGOR,5.39105208,2,04,1,0,40107,1773532800000,DTL MUKIM 13,,N.34,GENTARI GREEN MOBILITY SDN. BHD.,070401000,2,P.051,,PULAU PINANG,N.34 - PAYA TERUBONG,(HADAPAN COSWAY),LA 12/1/16/1816 (D-EVCS),DTL,TIMOR LAUT,60,7/8/2025 - 6/8/2035,183,1,100.28285351800008,5.391052084000023
,JALAN RIA EMAS,SEK. 4,,BUTTERWORTH,"WELLSPRING RESIDENCES (CONDOMINIUM), JALAN RIA EMAS, 12200 BUTTERWORTH, PULAU PINANG",,4,100.37630449,07,1650,"5.411829603229234, 100.37630449221152",4,KAMPUNG BENGGALI,P.043 - BAGAN,5.4118296,0,02,1,4,20008,1773532800000,SPU BUTTERWORTH SEK. 4,,N.09,GREEN EV CHARGE SDN BHD,070240004,4,P.043,,PULAU PINANG,N.09 - BAGAN DALAM,WELLSPRING RESIDENCES (CONDOMINIUM),LA 12/1/16/1815 (D-EVCS),SPU,SEBERANG PERAI UTARA,88,15/8/2025 - 14/8/2035,184,0,100.37630449200009,5.411829603000058
14344,JALAN ROZHAN, ,,MUKIM 15,"AEON MALL BUKIT MERTAJAM, DAN 14344, LOT 1379, JLN ROZHAN, ALMA, BUKIT MERTAJAM, 14000 PULAU PINANG",,4,100.47867168,07,1652,"5.3208947008352006, 100.4786716841184",3,ALMA,P.045 - BUKIT MERTAJAM,5.3208947,2,01,1,3,10019,1773532800000,SPT MUKIM 15,,N.14,GREEN EV CHARGE SDN BHD,070115000,5,P.045,LOT 1379,PULAU PINANG,N.14 - MACHANG BUBUK,AEON MALL BUKIT MERTAJAM,LA 12/1/16/1838 (D-EVCS),SPT,SEBERANG PERAI TENGAH,306,6/8/2025 5/8/2035,185,1,100.47867168400006,5.320894701000043
